@3P59JYT76MY6F046QTQ74A21VUV2TP@|@3I7SHAD35MA61MDZX61OQ3TTANB7MM@|@A14V2G8AZ32MFW@|@b1@|@{"unassigned":[{"name":"mainTunnel","variables":[{"varnum":"0","type":"variable","val":"A"}]}],"if_block":[{"name":"fire","variables":[{"varnum":"0","type":"variable","val":"A"}]}],"then_block":[{"name":"fullEvacuation","variables":[]}]}@
@3W92K5RLWVVDRPRID7SK3ZTYCPY5V5@|@3L1EFR8WWTJ49V9BQGVV990Q8CN9FT@|@AJFVK3O1D7SPE@|@b2@|@{"unassigned":[],"if_block":[{"name":"fire","variables":[{"varnum":"0","type":"variable","val":"A"}]},{"name":"hasClass","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"URI","val":"http://example.com/Tunnel"}]}],"then_block":[{"name":"dispatchFireTeam","variables":[{"varnum":"0","type":"variable","val":"A"}]}]}@
@3FTOP5WARG255N5NZC8PJGMD0UJ0JX@|@3L60IFZKF3WH2XI0JI7NPBAR748HHP@|@A14V2G8AZ32MFW@|@b9@|@"is flooded"@
@3TESA3PJ32OS99IFRE8FX5L77RCMMV@|@3QGTX7BCHPGRDPYZO2CL0LB6YLXZ5F@|@A2SRC38HIJ2X19@|@b4@|@{"unassigned":[],"if_block":[{"name":"CarbonMonoxideOfTunnel","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"B"}]},{"name":"PersonInLocation","variables":[{"varnum":"0","type":"variable","val":"C"},{"varnum":"1","type":"variable","val":"A"}]}],"then_block":[{"name":"ventilate","variables":[{"varnum":"0","type":"variable","val":"A"}]}]}@
@3I02618YA1KH7KK1SWRT5JWWPISUPT@|@3SCKNODZ0XUCJ4YZ97GO3IITFDL7NM@|@A3CF8ULBSE8MTL@|@a3@|@{"unassigned":[{"name":"TemperatureOfTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#string","val":"greater than 38"}]}],"if_block":[],"then_block":[]}@
@3MHW492WW1RBZWCO5696K14KYKQMVE@|@3T2EL38U0MYR1GHI7CC31BQMMHMXQT@|@A3CA7SCTM4H9IO@|@a6@|@{"unassigned":[{"name":"ObservablePropertyInMainTunnel","variables":[{"varnum":"1","type":"variable","val":"X"},{"varnum":"0","type":"URI","val":"http://example.com/Temperature"}]}],"if_block":[],"then_block":[]}@
@39OWYR0EPL5MXGFCOUSDWAO5J0EFY7@|@3TFJJUELSH3M6Z42E5QFRG795TLC2T@|@AJFVK3O1D7SPE@|@a2@|@{"unassigned":[{"name":"TemperatureOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"A"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"48"}]},{"name":"CarbonMonoxideOfMainTunnel","variables":[{"varnum":"0","type":"variable","val":"X"},{"varnum":"1","type":"variable","val":"B"}]},{"name":">","variables":[{"varnum":"0","type":"variable","val":"B"},{"varnum":"1","type":"http://www.w3.org/2001/XMLSchema#decimal","val":"78"}]}],"if_block":[],"then_block":[]}@
@3P529IW9KZZ2XH8D5F3N22M9ALDLFO@|@3UEDKCTP9V4BBYDWCUO8BQ1PLIG7KH@|@A3T63QXI9RIAV3@|@b6@|@{"unassigned":[],"if_block":[{"name":"PersonInLocation","variables":[{"varnum":"0","type":"variable","val":"A"},{"varnum":"1","type":"variable","val":"B"}]}],"then_block":[{"name":"recall","variables":[{"varnum":"0","type":"variable","val":"A"}]}]}@
@3NAPMVF0ZXTJH27ZDQN6ZEAJ6X072E@|@3V7ICJJAZAUDZ8RJ4JD89BYP7MH4BA@|@A3CF8ULBSE8MTL@|@b9@|@"a tunnel is flooded"@
@3S96KQ6I9NITIA2MNIAO0TT5SLJTDO@|@3XQ4XW3OD9Q2DGTYBRGF6LBRRW72SD@|@AVEHD2Q2W1FCV@|@a9@|@"flooded"@
